2025/06/21 01:11:04 [error] 4117605#4117605: *40613 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 64.181.253.64, server: 4lb.ca, request: "GET /admin/phpinfo.php HTTP/1.1", upstream: "fastcgi://unix:/var/run/php/php8.3-fpm.sock:", host: "www.4lb.ca"
2025/06/21 01:11:05 [error] 4117605#4117605: *40616 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 64.181.253.64, server: 4lb.ca, request: "GET /admin/info.php HTTP/1.1", upstream: "fastcgi://unix:/var/run/php/php8.3-fpm.sock:", host: "www.4lb.ca"
2025/06/21 01:11:05 [error] 4117604#4117604: *40619 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 64.181.253.64, server: 4lb.ca, request: "GET /admin/test.php HTTP/1.1", upstream: "fastcgi://unix:/var/run/php/php8.3-fpm.sock:", host: "www.4lb.ca"
2025/06/21 01:11:05 [error] 4117604#4117604: *40622 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 64.181.253.64, server: 4lb.ca, request: "GET /system/phpinfo.php HTTP/1.1", upstream: "fastcgi://unix:/var/run/php/php8.3-fpm.sock:", host: "www.4lb.ca"
2025/06/21 01:11:06 [error] 4117604#4117604: *40625 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 64.181.253.64, server: 4lb.ca, request: "GET /status.php HTTP/1.1", upstream: "fastcgi://unix:/var/run/php/php8.3-fpm.sock:", host: "www.4lb.ca"
2025/06/21 01:11:06 [error] 4117604#4117604: *40628 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 64.181.253.64, server: 4lb.ca, request: "GET /install/phpinfo.php HTTP/1.1", upstream: "fastcgi://unix:/var/run/php/php8.3-fpm.sock:", host: "www.4lb.ca"
2025/06/21 01:11:07 [error] 4117604#4117604: *40631 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 64.181.253.64, server: 4lb.ca, request: "GET /phpinfo/index.php HTTP/1.1", upstream: "fastcgi://unix:/var/run/php/php8.3-fpm.sock:", host: "www.4lb.ca"
2025/06/21 01:11:07 [error] 4117604#4117604: *40634 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 64.181.253.64, server: 4lb.ca, request: "GET /phpinfo/info.php HTTP/1.1", upstream: "fastcgi://unix:/var/run/php/php8.3-fpm.sock:", host: "www.4lb.ca"
2025/06/21 01:11:07 [error] 4117604#4117604: *40637 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 64.181.253.64, server: 4lb.ca, request: "GET /version.php HTTP/1.1", upstream: "fastcgi://unix:/var/run/php/php8.3-fpm.sock:", host: "www.4lb.ca"
2025/06/21 01:11:08 [error] 4117604#4117604: *40640 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 64.181.253.64, server: 4lb.ca, request: "GET /phpversion.php HTTP/1.1", upstream: "fastcgi://unix:/var/run/php/php8.3-fpm.sock:", host: "www.4lb.ca"
2025/06/21 01:11:08 [error] 4117604#4117604: *40643 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 64.181.253.64, server: 4lb.ca, request: "GET /php/phpinfo.php HTTP/1.1", upstream: "fastcgi://unix:/var/run/php/php8.3-fpm.sock:", host: "www.4lb.ca"
2025/06/21 02:59:10 [error] 4117605#4117605: *44117 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 23.83.185.13, server: 4lb.ca, request: "GET /phpinfo.php HTTP/1.1", upstream: "fastcgi://unix:/var/run/php/php8.3-fpm.sock:", host: "www.4lb.ca"
2025/06/21 02:59:15 [error] 4117605#4117605: *44123 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 23.83.185.13, server: 4lb.ca, request: "GET /test.php HTTP/1.1", upstream: "fastcgi://unix:/var/run/php/php8.3-fpm.sock:", host: "www.4lb.ca"
